경찰서명,년월일,신고수,유동인구수01_06시간대,유동인구수07_12시간대,유동인구수13_18시간대,유동인구수19_00시간대,연령대유동인구수_10대,연령대유동인구수_20대,연령대유동인구수_30대,연령대유동인구수_40대,연령대유동인구수_50대,연령대유동인구수_60대,연령대유동인구수_70대이상
서울강서경찰서,20190316,403,209199.24,732927.2,1024903.89,518175.29,126872.61,329445.16,526997.6,510491.49,490354.04,369159.62,131988.47
서울강서경찰서,20190315,375,236291.03,858102.22,941052.26,602326.21,96611.79,340991.9,552642.7,590647.72,537593.35,382996.65,136380.13
서울강서경찰서,20190314,311,238807.88,879053.75,932144.22,548767.84,88032.2,328901.34,542566.89,581725.98,533366.19,383016.52,141267.94
서울강서경찰서,20190313,332,235397.05,864819.43,941389.42,530492.15,91305.89,322967.79,534601.31,577618.11,527442.79,380492.01,137771.72
서울강서경찰서,20190312,312,236198.26,850698.64,899583.51,521111.87,84949.13,316021,518250.7,562332.69,521200.46,371271.84,133654.74
서울강서경찰서,20190311,298,244158.67,886284.1,904749.56,492964.76,89079.49,320835.78,524142.57,562999.41,518887.73,373875.49,138420.1
서울강서경찰서,20190310,314,161150.91,550105.22,830272.14,411262.48,110336.65,279607.8,410419.2,384577.9,377724.83,284888.43,105349.44
서울강서경찰서,20190309,331,207116.58,744578.31,1023588.5,527573.01,123550.13,330663.15,531339.79,516678.58,496442.12,369535.4,134750.52
서울강서경찰서,20190308,385,236132.3,831195.09,1004082.42,598861.75,95464.98,346888.77,559469.19,591628.38,543735.68,388908.67,144262.85
서울강서경찰서,20190307,337,237333.59,863875.13,934188.47,541022.3,85487.55,326110.64,535823.65,575212.52,528691.95,383273.87,141927.07
서울강서경찰서,20190306,324,235105.12,850790.29,890796.56,522764.42,88170.85,320244.01,520159.32,559655.75,511825.44,367427.71,132073.72
서울강서경찰서,20190305,281,236355.59,851162.25,893460.93,507849.69,86404.77,314664.04,512793.69,558485.41,514491.14,368288.98,133796.54
서울강서경찰서,20190304,277,234612.31,843228.22,897738.16,493814.95,97050.81,315567.91,506402.91,539031.16,507598.51,367972.68,135863.64
서울강서경찰서,20190303,316,147809.06,547150.97,834383.51,398485.91,112244.12,273677.45,401658.21,381535.62,371566.5,281444.95,105814.01
서울강서경찰서,20190302,354,172949.16,646723.68,929801.28,473828.48,122223.35,303803.58,463961.16,456497.2,435014.75,322182.54,119729.55
서울강서경찰서,20190301,327,220597.61,649993.61,923314.7,493851.41,125323.8,309957.92,473007,471670.9,454911.8,331404.9,121588.44
서울강서경찰서,20190228,379,218572.15,816597.61,883352.77,517566.6,90717.09,309847.12,510417.36,545948.78,494100.88,355207.08,129917.87
서울강서경찰서,20190227,397,214791.85,811632.15,901135.4,513990.91,91055.44,308419.06,505937.86,546303.55,500528.95,356809.86,132579.54
서울강서경찰서,20190226,315,214348.04,823617.87,890463.82,500554.62,91041.07,306503.3,499582.27,543592.81,496905.05,359226.07,132207.21
서울강서경찰서,20190225,275,214520.15,806880.9,860310.51,474784.56,84894.95,306504.22,489524.34,524168.98,481035.9,343228.48,127222.41
서울강서경찰서,20190224,314,149812.6,541418.3,816823,388273.09,112742.5,268714.18,396384.31,378494.69,363116.29,273018.69,103928.73
서울강서경찰서,20190223,430,191021.33,689772.89,968109.38,451935.94,120854.76,310347.95,481378.85,476642.2,455781.95,334194.62,121702.85
서울강서경찰서,20190222,331,210147.69,806215,928109.98,547351.79,90463.71,320407.58,520128.66,556500.72,509120.68,363774.02,131494.76
서울강서경찰서,20190221,342,211998.85,803480.86,881297.12,501690.99,87073.92,305378.38,495844.99,536075.64,494394.15,350905.24,128872.57
서울강서경찰서,20190220,337,207263.76,782002.03,854546.96,487051.77,84862.45,297339.14,484692.29,521201.63,477913.54,340150.21,124776.79
서울강서경찰서,20190219,289,209759.5,670568.15,753102.94,451382.65,78533.12,281196.43,436748.73,465460,423020.56,296478.03,103441.81
서울강서경찰서,20190218,304,210750.03,792886.25,849108.08,458175.03,83243.28,298789.08,477728.54,516984.97,472141.25,336798.61,125303.35
서울강서경찰서,20190217,302,146099.46,512331.57,756221.38,374213.85,105777.59,257018.57,373236.73,354077.91,340945.25,260013.59,97868.46
서울강서경찰서,20190216,395,184320.5,642613.17,891832.3,459593.34,111013.11,302968.56,456874.38,446891.23,430515.04,317519.59,112651.36
서울강서경찰서,20190215,328,204572.69,836472.29,854295.82,502438.07,97347.97,314544.76,502822.14,541361.16,486929.69,336356.87,118485.61
서울강서경찰서,20190214,345,194702.23,734825.81,826435.37,473163.53,84378.76,292028.69,464901.57,491337.35,453510.8,323668.38,119381.87
서울강서경찰서,20190213,285,208554.61,788039.36,844689.95,482748.27,84641.48,302374.27,483525.81,516305.53,474316.32,338563.72,124385.79
서울강서경찰서,20190212,285,204584.34,774240.13,846224.21,475006.14,83007.97,297907.2,474338.76,510177.9,470250.65,338450,126002.2
서울강서경찰서,20190211,276,205344.31,764915.76,819478.96,453989.16,78088.15,297590.33,466801.78,497480.09,454474.52,328021.18,121347.92
서울강서경찰서,20190210,263,138378.43,459288.71,690117.8,344379.78,97434.28,242846.56,342023.88,319593.06,307781.22,234492.7,88066.8
