"자치구","안심 주소","위도","경도","CCTV 수량","수정 일시"
"강서구","C131005_가양3동 1492-1(고정2) (1시)","37.5598","126.8640","1","2022-12-01"
"강서구","C131005_가양3동 1492-1(고정3) (10시)","37.5598","126.8640","1","2022-12-01"
"강서구","C131007_가양3동 1482-2_PTZ","37.5632","126.8568","1","2022-12-01"
"강서구","C141001(A1005)_공항동 1338-1","37.5545","126.8152","1","2022-12-01"
"강서구","C141001(A1005)_공항동 1338-1(보조1) (9시 센트럴빌딩)","37.5545","126.8152","1","2022-12-01"
"강서구","C141002(A1006)_공항동 1344","37.5561","126.8170","1","2022-12-01"
"강서구","C141003(A1007)_공항동 1357","37.5556","126.8189","2","2022-12-01"
"강서구","C141004(A1008)_공항동 1362-13","37.5546","126.8170","1","2022-12-01"
"강서구","C141004(A1008)_공항동 1362-13(보조1) (6시 방화대로와 발산로 사이길 연결)","37.5546","126.8170","1","2022-12-01"
"강서구","C141005_공항동 18-23","37.5633","126.8119","2","2022-12-01"
"강서구","C141006_공항동 42-10","37.5605","126.8108","1","2022-12-01"
"강서구","C141006_공항동 42-10 - 카메라 1","37.5605","126.8108","1","2022-12-01"
"강서구","C141006_공항동 42-10(보조1) (3시 송정공원)","37.5605","126.8108","1","2022-12-01"
"강서구","C141007_공항동 51-2","37.5599","126.8092","1","2022-12-01"
"강서구","C141007_공항동 51-2","37.5599","126.8093","1","2022-12-01"
"강서구","C141007_공항동 51-2(보조1) (5시 공항동 67-10 방향)","37.5599","126.8093","1","2022-12-01"
"강서구","C141008(A1012)_공항동 55-135","37.5585","126.8122","2","2022-12-01"
"강서구","C141008(A1012)_공항동 55-135(보조1) (3시 남부순환로11가길 연결)","37.5585","126.8122","1","2022-12-01"
"강서구","C141009(A1014)_공항동 663","37.5576","126.8148","1","2022-12-01"
"강서구","C141010(A1015)_공항동 672-2","37.5560","126.8157","1","2022-12-01"
"강서구","C141010(A1015)_공항동 672-2(보조1) (9시 화인빌리지)","37.5561","126.8158","1","2022-12-01"
"강서구","C141011(A1016)_공항동 677","37.5549","126.8137","3","2022-12-01"
"강서구","C141011(A1016)_공항동 677(보조1) (2시 현대힐스빌)","37.5549","126.8137","1","2022-12-01"
"강서구","C141012(A1056)_공항동 2-5","37.5642","126.8151","2","2022-12-01"
"강서구","C141013(A2006)_공항동 14-70","37.5620","126.8137","2","2022-12-01"
"강서구","C141014(A2008)_공항동 60-38","37.5585","126.8098","3","2022-12-01"
"강서구","C141014(A2008)_공항동 60-38(보조1) (12시 밤비니유치원)","37.5585","126.8098","1","2022-12-01"
"강서구","C141015(A4039)_공항동 682-11","37.5558","126.8141","2","2022-12-01"
"강서구","C141016(A4040)_공항동 22-170(공항대로 7길 11)","37.5620","126.8123","1","2022-12-01"
"강서구","C141017(A4041)_공항동 14-258","37.5627","126.8145","2","2022-12-01"
"강서구","C141018[경찰방범]_공항동 66-96","37.5590","126.8086","1","2022-12-01"
"강서구","C141019_공항동 52-16 - 카메라 1","37.5600","126.8100","1","2022-12-01"
"강서구","C141019_공항동 52-16(보조1) (2시 송정제이빌아파트)","37.5600","126.8100","1","2022-12-01"
"강서구","C141020_공항동 40-33 - 카메라 1","37.5587","126.8129","1","2022-12-01"
"강서구","C141021_공항동 34-71 - 카메라 1","37.5605","126.8129","1","2022-12-01"
"강서구","C141022_공항동 45-88(고정1) (7시 공항대로)","37.5620","126.8101","1","2022-12-01"
"강서구","C141022_공항동 45-88(고정1) (7시 공항대로)","37.5621","126.8101","1","2022-12-01"
"강서구","C141023_공항동 18-30","37.5638","126.8128","1","2022-12-01"
"강서구","C141023_공항동 18-30(보조1) (5시 공항교당)","37.5638","126.8128","1","2022-12-01"
"강서구","C141024_공항동 651-6","37.5584","126.8145","1","2022-12-01"
"강서구","C141024_공항동 651-6(보조1) (9시-10시 단이슬어린이집)","37.5584","126.8145","1","2022-12-01"
"강서구","C141025_공항동 61-67","37.5579","126.8092","1","2022-12-01"
