영업상태명,소재지면적,소재지우편번호,지번주소,사업장명,좌표정보(X),좌표정보(Y),행정동
영업/정상,2.85,157-871,서울특별시 강서구 화곡동 98-253 1층,세븐일레븐 화곡공원점,186226.2982,448792.7431,화곡동
영업/정상,3.3,157-910,서울특별시 강서구 화곡동 913-11,GS25 강서희망점,186069.5086,447378.0574,화곡동
영업/정상,3.3,157-928,서울특별시 강서구 화곡동 1118-18 1층,지에스25 강서희망타운점,186825.915,449912.699,화곡동
영업/정상,3.3,157-290,서울특별시 강서구 외발산동 282-2,CU 퍼시픽호텔점,183993.3931,449605.8657,외발산동
영업/정상,9.9,157-849,"서울특별시 강서구 방화동 450-1 다우하임 더 프라임아파트 105,106호",지에스25 방화사거리점,183348.5937,452406.0663,방화동
영업/정상,3.3,157-844,서울특별시 강서구 등촌동 676 태진아름아파트,씨유 강서등촌점,187592.5133,449719.077,등촌동
영업/정상,6.6,157-040,서울특별시 강서구 염창동 309 e편한세상,GS25 염창아지트점,188508.5861,449646.9854,염창동
영업/정상,6.6,157-210,서울특별시 강서구 마곡동 795-2 마곡아이파크 112호,GS25 발산아이파크점,185581.018,450935.144,마곡동
영업/정상,3.3,157-884,서울특별시 강서구 화곡동 371-20,씨유 강서대로점,185650.1169,448322.1731,화곡동
영업/정상,3.3,157-807,서울특별시 강서구 가양동 1479-8 동양트레벨스카이오피스텔 1층 101호,지에스(GS)25 강서트레벨,186758.9896,451280.7869,가양동
영업/정상,3.3,157-910,서울특별시 강서구 화곡동 935-19 1층,씨유 강서중앙점,185747.6701,447360.2708,화곡동
영업/정상,3.3,157-210,서울특별시 강서구 마곡동 797-4 발산파크프라자 106호,GS25 발산파크점,185486.6703,450776.8978,마곡동
영업/정상,3.3,157-865,서울특별시 강서구 염창동 303 강변코아루,씨유 염창하나점,188748.5137,450121.8991,염창동
영업/정상,3.3,157-872,서울특별시 강서구 화곡동 105-82 디아망2 1층 101호,세븐일레븐 화곡까치점,186007.8057,448759.3188,화곡동
영업/정상,3.3,157-210,서울특별시 강서구 마곡동 801-1 열린M타워Ⅱ1층 115호,세븐일레븐 마곡열린점,185290.5755,450703.3536,마곡동
영업/정상,3.3,157-846,서울특별시 강서구 방화동 249-28,세븐일레븐 신방화점,183400.7148,451689.7828,방화동
영업/정상,3.3,157-210,서울특별시 강서구 마곡동 743 마곡엠밸리6단지,세븐일레븐 마곡6단지점,184095.2783,451462.4866,마곡동
영업/정상,3.3,157-210,서울특별시 강서구 마곡동 795-6 뉴골든타워 1층 101-2호,이마트24 마곡골든점,185554.2994,450891.3124,마곡동
영업/정상,3.3,157-918,서울특별시 강서구 화곡동 1017,씨유화곡혜인점,185180.6058,449122.1922,화곡동
영업/정상,3.3,157-867,서울특별시 강서구 화곡동 56-451,지에스(GS)25 화곡지연,186487.4331,448550.6642,화곡동
영업/정상,3,157-812,서울특별시 강서구 공항동 72-9 본방빌딩,GS25 고항센트레빌점,183013.9395,450945.9033,공항동
영업/정상,3.3,157-898,서울특별시 강서구 화곡동 797-22 용경빌딩,씨유 곰달래본점,187712.5988,447791.8974,화곡동
