"링크 길이","시군구 코드","시군구명","읍면동 코드","읍면동명","안심벨","cctv","안심귀갓길 안내표지판","안심귀갓길 노면표기","보안등","안심귀갓길 서비스 안내판","112 위치신고 안내판","기타 시설물","안심귀갓길 id","안심귀갓길 명","조성년월","세부위치 설명","비고","데이터기준일자"
"167.36","1126000000","서울특별시 중랑구","1126010100","면목동","3","8","","1","12","","1","","1126010100_07","중랑안심07","2018","면목로45길","","20220819"
"443.31","1126000000","서울특별시 중랑구","1126010100","면목동","6","13","","2","2","","7","","1126010100_08","중랑안심08","2018","면목로54길","","20220819"
"453.17","1126000000","서울특별시 중랑구","1126010100","면목동","4","8","","3","16","","7","","1126010100_09","중랑안심09","2018","용마산로84길","","20220819"
"357.58","1126000000","서울특별시 중랑구","1126010100","면목동","2","1","","3","39","","3","","1126010100_12","중랑안심12","2018","겸재로4길","","20220809"
"329.93","1126000000","서울특별시 중랑구","1126010100","면목동","2","1","","","15","","","","1126010100_13","중랑안심13","2018","답십리로77길","","20220805"
"259.01","1126000000","서울특별시 중랑구","1126010100","면목동","3","8","","1","17","","5","","1126010100_14","중랑안심14","2020","사가정로42길","","20220805"
"369.96","1126000000","서울특별시 중랑구","1126010200","상봉동","4","8","","2","16","","1","","1126010200_06","중랑안심06","2018","망우로42길","","20220818"
"323.62","1126000000","서울특별시 중랑구","1126010300","중화동","","3","","5","12","","5","","1126010300_16","중랑안심16","2018","봉화산로 4길","","20220818"
"313.63","1126000000","서울특별시 중랑구","1126010300","중화동","1","4","12","3","11","","3","5","1126010300_21","중랑안심21","2020","봉화산로33길","","20220818"
"209.84","1126000000","서울특별시 중랑구","1126010400","묵동","2","5","","3","7","","3","","1126010400_19","중랑안심19","2018","동일로156길","","20220818"
"478.58","1126000000","서울특별시 중랑구","1126010500","망우동","4","11","2","5","25","","3","","1126010500_01","중랑안심01","2018","봉우재로71길","","20220818"
"255.26","1126000000","서울특별시 중랑구","1126010500","망우동","4","11","","5","9","","3","","1126010500_02","중랑안심02","2018","망우로72길","","20220818"
"300.01","1126000000","서울특별시 중랑구","1126010600","신내동","2","7","","4","15","","2","","1126010600_10","중랑안심10","2018","봉화산로53길","","20220818"
"347.19","1129000000","서울특별시 성북구","1129010100","성북동","4","11","","4","12","","4","","1129010100_14","성북안심14","2021","성북로8길","","20220923"
"197.01","1129000000","서울특별시 성북구","1129010200","성북동1가","1","3","","5","9","","5","","1129010200_13","성북안심13","2021","창경궁로43길","","20220923"
"253.14","1129000000","서울특별시 성북구","1129010400","동소문동1가","1","2","","5","9","","5","","1129010400_03","성북안심03","2021","성북로2길","","20220922"
"302.01","1129000000","서울특별시 성북구","1129011100","삼선동1가","3","1","","4","13","","4","2","1129011100_04","성북안심04","2021","삼선교로4길","","20220922"
"228.4","1129000000","서울특별시 성북구","1129011500","삼선동5가","1","7","","4","14","","3","","1129011500_05","성북안심05","2021","보문로31길","","20220920"
"197.84","1129000000","서울특별시 성북구","1129011700","동선동2가","1","3","","5","8","","5","","1129011700_01","성북안심01","2021","동소문로22길","","20220920"
"270.03","1129000000","서울특별시 성북구","1129011900","동선동4가","2","9","2","4","1","","5","","1129011900_02","성북안심02","2021","동소문로23길","","20220920"
"436.03","1129000000","서울특별시 성북구","1129013300","정릉동","2","7","","5","14","","3","","1129013300_07","성북안심07","2021","정릉로 36길","","20220922"
"194.24","1129000000","서울특별시 성북구","1129013300","정릉동","2","7","","4","11","","4","","1129013300_08","성북안심08","2021","정릉로38길","","20220922"
"300.22","1129000000","서울특별시 성북구","1129013300","정릉동","3","9","","4","12","","4","1","1129013300_09","성북안심09","2021","보국문로18길","","20220929"
"326.84","1129000000","서울특별시 성북구","1129013300","정릉동","3","14","","4","11","","4","","1129013300_10","성북안심10","2021","솔샘로6길","","20220929"
"356.05","1129000000","서울특별시 성북구","1129013300","정릉동","5","18","","5","17","","6","1","1129013300_11","성북안심11","2021","정릉로27길","","20220923"
"361.8","1129000000","서울특별시 성북구","1129013300","정릉동","4","15","","4","19","","4","","1129013300_12","성북안심12","2021","아리랑로 19길","","20220923"
"253.78","1129000000","서울특별시 성북구","1129013600","하월곡동","3","8","","2","11","","4","11","1129013500_10","종암안심10","2014","북악산로29길","","20220929"
"211.21","1129000000","서울특별시 성북구","1129013500","종암동","4","5","","4","11","","4","","1129013500_11","종암안심11","2014","회기로3가길","","20220920"
"411.71","1129000000","서울특별시 성북구","1129013500","종암동","4","1","","4","24","","4","","1129013500_12","종암안심12","2014","종암로14길","","20220920"
"429.9","1129000000","서울특별시 성북구","1129013600","하월곡동","2","5","","3","18","","6","","1129013600_07","종암안심07","2019","화랑로5길","","20220929"
"598.45","1129000000","서울특별시 성북구","1129013600","하월곡동","5","14","","3","24","","3","","1129013600_08","종암안심08","2014","종암로 36길","","20220929"
"339.19","1129000000","서울특별시 성북구","1129013600","하월곡동","4","14","1","5","2","","6","1","1129013600_09","종암안심09","2014","장월로1마길","","20220929"
"469.57","1129000000","서울특별시 성북구","1129013800","장위동","3","8","","4","16","","4","","1129013800_04","종암안심04","2014","돌곶이로25길","안심길 공사중","20220929"
"625.48","1129000000","서울특별시 성북구","1129013800","장위동","6","25","","4","38","","4","","1129013800_06","종암안심06","2014","장위로 21길","","20220927"
"495.08","1129000000","서울특별시 성북구","1129013900","석관동","5","15","9","4","27","","7","","1129013900_01","종암안심01","2014","돌곶이로21길","","20220927"
"290.63","1129000000","서울특별시 성북구","1129013900","석관동","3","9","","1","13","","3","","1129013900_02","종암안심02","2014","화랑로40길","","20220927"
"245.75","1129000000","서울특별시 성북구","1129013900","석관동","2","6","","4","14","","6","1","1129013900_03","종암안심03","2014","화랑로22길","","20220927"
"510","1130500000","서울특별시 강북구","1130510100","미아동","5","5","3","7","16","","9","","1130510100_01","강북안심01","2014","도봉로18길","","20221013"
"421.27","1130500000","서울특별시 강북구","1130510100","미아동","5","18","7","8","15","","14","","1130510100_02","강북안심02","2014","도봉로 76길","","20221012"
"369.93","1130500000","서울특별시 강북구","1130510100","미아동","1","8","8","9","22","","8","","1130510100_04","강북안심04","2014","도봉로10다길","","20221013"
"435.82","1130500000","서울특별시 강북구","1130510100","미아동","2","3","","","15","","","","1130510100_05","강북안심05","2014","도봉로61길","","20221012"
"303.64","1130500000","서울특별시 강북구","1130510100","미아동","2","7","","7","18","","7","","1130510100_06","강북안심06","2014","도봉로 8길","","20221013"
"471.52","1130500000","서울특별시 강북구","1130510100","미아동","2","5","2","6","13","","6","","1130510100_07","강북안심07","2014","도봉로67길","","20221012"
"346.92","1130500000","서울특별시 강북구","1130510100","미아동","4","9","1","6","8","","6","","1130510100_23","강북안심23","2015","도봉로53길","","20221013"
"426.92","1130500000","서울특별시 강북구","1130510200","번동","3","8","11","9","2","1","18","","1130510200_18","강북안심18","2014","덕릉로 41길","","20221006"
"497.24","1130500000","서울특별시 강북구","1130510200","번동","4","15","3","8","15","","9","","1130510200_19","강북안심19","2014","도봉로96길","","20221006"
"671.78","1130500000","서울특별시 강북구","1130510200","번동","5","11","6","9","28","","17","","1130510200_20","강북안심20","2014","한천로123길","","20221006"
"157.43","1130500000","서울특별시 강북구","1130510200","번동","1","4","","4","8","","4","","1130510200_21","강북안심21","2014","오현로34길","","20221012"
"512.22","1130500000","서울특별시 강북구","1130510300","수유동","4","9","5","7","27","","13","","1130510300_03","강북안심03","2014","도봉로49길","","20221013"
"508.93","1130500000","서울특별시 강북구","1130510300","수유동","6","16","3","7","15","","6","","1130510300_08","강북안심08","2014","수유로4길","","20221012"
"507.87","1130500000","서울특별시 강북구","1130510300","수유동","5","17","","8","29","","8","","1130510300_09","강북안심09","2014","노해로 33길","","20221005"
"354.96","1130500000","서울특별시 강북구","1130510300","수유동","2","5","","5","13","","5","","1130510300_10","강북안심10","2014","삼양로131길","","20221005"
"435.1","1130500000","서울특별시 강북구","1130510300","수유동","3","6","3","6","16","","12","","1130510300_12","강북안심12","2014","도봉로 97길","","20221005"
"481.23","1130500000","서울특별시 강북구","1130510300","수유동","2","7","8","8","25","","18","","1130510300_13","강북안심13","2014","노해로 11길","","20221006"
"621.2","1130500000","서울특별시 강북구","1130510300","수유동","5","13","11","11","32","","15","3","1130510300_14","강북안심14","2014","도봉로83길","","20221006"
"447.06","1130500000","서울특별시 강북구","1130510300","수유동","3","5","1","6","2","","5","","1130510300_15","강북안심15","2014","인수봉로56길","","20221006"
